Date,Open,High,Low,Close,Adj Close,Volume
2014-03-04,75.857140,76.392860,75.150002,75.845711,68.090271,261001300
2014-03-11,76.492859,77.094284,74.714287,75.248573,67.554192,293259400
2014-03-18,75.128571,77.214287,75.028572,77.027145,69.150909,343137200
2014-03-25,77.357140,78.428574,76.321426,76.677139,68.836685,293331500
2014-04-01,76.822861,77.639999,74.555717,74.781425,67.134819,277156600
2014-04-08,75.027145,76.034286,73.877144,74.525711,66.905235,291775400
2014-04-15,74.324287,76.019997,73.047142,75.881432,68.122345,237034700
2014-04-22,75.472855,85.107140,74.921425,84.870003,76.191795,604293900
2014-04-29,84.820000,85.857140,83.765717,85.851425,77.072868,379162000
2014-05-06,85.971428,86.344284,82.904289,84.690002,76.030205,348133100
2014-05-13,84.571426,86.761429,83.628571,86.370003,80.675102,287749700
2014-05-20,86.358574,87.818573,85.818573,87.732857,81.948097,216166300
2014-05-27,87.982857,92.024284,87.947144,89.807144,83.885605,493548300
2014-06-03,89.779999,93.879997,89.750000,93.699997,87.521790,395898800
2014-06-10,94.730003,95.050003,90.879997,92.199997,86.120689,253293000
2014-06-17,92.309998,92.699997,90.599998,90.830002,84.841003,243360000
2014-06-24,90.750000,93.730003,89.650002,92.930000,86.802559,222045300
2014-07-01,93.519997,95.989998,93.089996,95.970001,89.642120,146047800
2014-07-08,96.269997,96.889999,93.519997,96.449997,90.090454,218172000
2014-07-15,96.800003,97.099998,92.570000,93.940002,87.745972,245239200
2014-07-22,94.680000,99.239998,94.120003,99.019997,92.490997,292631000
2014-07-29,99.330002,99.440002,94.809998,95.589996,89.287163,221465000
2014-08-05,95.360001,96.080002,93.279999,95.989998,89.660782,219652000
2014-08-12,96.040001,99.370003,95.610001,99.160004,93.082489,190350000
2014-08-19,99.410004,102.169998,99.320000,101.540001,95.316620,240030000
2014-08-26,101.419998,102.900002,100.699997,102.500000,96.217766,198576000
2014-09-02,103.059998,103.739998,97.790001,98.360001,92.331505,369516700
2014-09-09,99.080002,103.080002,96.139999,101.629997,95.401077,477011600
2014-09-16,99.800003,102.349998,98.889999,101.059998,94.866028,288824800
